,from,B4,B3,B2,B1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,B4,0.0,0.02213393870601589,0.0,0.13677639046538026,0.1543700340522134,0.032917139614074914,0.06356413166855845,0.03859250851305335,0.034619750283768444,0.06469920544835414,0.049943246311010214,0.04540295119182747,0.03688989784335982,0.049943246311010214,0.043132803632236094,0.0681044267877412,0.051645856980703744,0.05391600454029512,0.053348467650397274
2,B3,0.06809583858764187,0.0,0.0,0.09709962168978563,0.13619167717528374,0.05170239596469105,0.06809583858764187,0.044136191677175286,0.06557377049180328,0.0403530895334174,0.06557377049180328,0.05674653215636822,0.05674653215636822,0.02269861286254729,0.029003783102143757,0.04287515762925599,0.04665825977301387,0.0832282471626734,0.025220680958385876
3,B2,,,,,,,,,,,,,,,,,,,
4,B1,0.05075912077951507,0.012689780194878767,0.0,0.0,0.04588715159755268,0.004305461137548153,0.038635848629050534,0.025946068434171764,0.03942895989123046,0.06322229775662815,0.06934058463630184,0.08214366644006345,0.07432585542714706,0.013709494674824383,0.09777928846589622,0.1053704962610469,0.1041241785633356,0.1331293904373442,0.039202356673464764
5,1,0.05119477632675743,0.013059183106418449,0.0,0.04035843289802723,0.0,0.0029869408168935814,0.045012503473187,0.03389830508474576,0.03459294248402334,0.06147540983606557,0.08134203945540427,0.08731592108919144,0.07585440400111142,0.013337038066129481,0.07877188107807724,0.08669074742984162,0.09974993053626008,0.14274798555154208,0.05161155876632398
6,2,0.12465373961218837,0.055401662049861494,0.0,0.09879963065558633,0.10803324099722991,0.0,0.023084025854108958,0.024930747922437674,0.020313942751615882,0.024930747922437674,0.04986149584487535,0.046168051708217916,0.040627885503231764,0.08310249307479224,0.048938134810710986,0.07109879963065559,0.0664819944598338,0.05263157894736842,0.060941828254847646
7,3,0.04735883424408015,0.022313296903460837,0.0,0.1732695810564663,0.4430783242258652,0.006830601092896175,0.0,0.02163023679417122,0.02413479052823315,0.01889799635701275,0.03642987249544627,0.02459016393442623,0.01980874316939891,0.008879781420765027,0.020264116575591986,0.03642987249544627,0.04439890710382514,0.033242258652094715,0.018442622950819672
8,4,0.05870075658752935,0.02269762588051135,0.0,0.17088442473258544,0.3994260370466997,0.008087659796504044,0.025306548395512652,0.0,0.020349595617010174,0.02921993216801461,0.02374119488651187,0.03495956170101748,0.04043829898252022,0.02348030263501174,0.03365510044351683,0.025306548395512652,0.03782937646751892,0.021132272371510566,0.02478476389251239
9,5,0.05415045395590143,0.023994811932555125,0.0,0.1569390402075227,0.4357976653696498,0.004215304798962386,0.031776913099870296,0.017509727626459144,0.0,0.02821011673151751,0.02464332036316472,0.021076523994811934,0.0311284046692607,0.03339818417639429,0.017509727626459144,0.032101167315175094,0.03696498054474708,0.037937743190661476,0.01264591439688716
10,6,0.050538525269262634,0.014705882352941176,0.0,0.19904722452361226,0.5167771333885667,0.008285004142502071,0.018019884009942005,0.0171913835956918,0.016570008285004142,0.0,0.01739850869925435,0.017605633802816902,0.021541010770505385,0.009527754763877383,0.020298260149130075,0.022990886495443248,0.01739850869925435,0.02236951118475559,0.009734879867439934
11,7,0.052157519899455385,0.01508169250104734,0.0,0.22015081692501048,0.4530791788856305,0.006702974444909929,0.029116045245077504,0.012777545035609551,0.016757436112274822,0.019689987431922917,0.0,0.020108923334729786,0.021156263091746962,0.015919564306661083,0.020527859237536656,0.02346041055718475,0.036447423544197735,0.024507750314201927,0.012358609132802682
12,8,0.05359056806002144,0.025509110396570205,0.0,0.23687031082529475,0.4808145766345123,0.006430868167202572,0.01607717041800643,0.02122186495176849,0.014790996784565916,0.018435155412647373,0.015219721329046088,0.0,0.021864951768488745,0.005144694533762058,0.01757770632368703,0.015219721329046088,0.01929260450160772,0.01822079314040729,0.013719185423365487
13,9,0.05227655986509275,0.017104312213924354,0.0,0.2336786316550229,0.47386172006745364,0.006745362563237774,0.020717899301373164,0.01854974704890388,0.01445434834979523,0.026740544447121175,0.01975427607805348,0.01975427607805348,0.0,0.006504456757407854,0.016622500602264514,0.02312695735967237,0.0199951818838834,0.01854974704890388,0.011563478679836184
14,10,0.09645507007419621,0.018961253091508656,0.0,0.16323165704863973,0.29925803792250616,0.05935696619950536,0.03215169002473207,0.05935696619950536,0.038746908491343775,0.03462489694971146,0.025556471558120363,0.021434460016488046,0.018136850783182192,0.0,0.011541632316570486,0.01978565539983512,0.05688375927452597,0.03297609233305853,0.011541632316570486
15,11,0.05685377017586124,0.017345218019754277,0.0,0.2652372922187425,0.46253914719344735,0.008190797398217297,0.016140688990604675,0.0187906528547338,0.015417971573114912,0.01927246446639364,0.016381594796434595,0.019513370272223562,0.01830884124307396,0.00457721031076849,0.0,0.017827029631414117,0.017345218019754277,0.016622500602264514,0.00963623223319682
16,12,0.06390414378432352,0.017224163754368447,0.0,0.2603594608087868,0.418372441337993,0.011233150274588119,0.0254618072890664,0.01797304043934099,0.0199700449326011,0.0254618072890664,0.022216674987518722,0.018222666000998502,0.022216674987518722,0.003494757863205192,0.016475287069395907,0.0,0.021717423864203694,0.024213679480778832,0.011482775836245632
17,13,0.05977496483825598,0.015939990623534926,0.0,0.23956868260665728,0.43225503984997654,0.011251758087201125,0.031176746366619785,0.02015939990623535,0.02531645569620253,0.02015939990623535,0.03164556962025317,0.015471167369901548,0.016408813877168308,0.012423816221284576,0.013361462728551337,0.019456165025785278,0.0,0.024847632442569153,0.010782934833567745
18,14,0.062113127001067234,0.02582710779082177,0.0,0.2463180362860192,0.4390608324439701,0.010885805763073639,0.02390608324439701,0.015154749199573105,0.018996798292422627,0.026040554962646744,0.02646744930629669,0.016435432230522944,0.016648879402347917,0.010032017075773746,0.011099252934898612,0.01792956243329776,0.02113127001067236,0.0,0.011953041622198506
19,15,0.07110862262038074,0.0341545352743561,0.0,0.16517357222844345,0.387458006718925,0.02295632698768197,0.03527435610302351,0.048712206047032476,0.016237402015677492,0.024076147816349383,0.029115341545352745,0.032474804031354984,0.02855543113101904,0.011758118701007838,0.015677491601343786,0.026875699888017916,0.030235162374020158,0.020156774916013438,0.0
