,policy,waiting_time,journey_time,count_floor,count_stop,count_wasted
14,v2-8,103.6116231,123.2295509,652.52,40.12,259.74
15,v2-9,122.7661214,143.4071369,666.93,38.1,280.54
16,v2-all_available,212.7621345,256.7138988,700.35,34.43,5.39
1,v2-10,144.1244952,167.1676141,682.23,31.87,268.41
2,v2-11,169.8395295,196.5918161,651.23,18.15,328.84
13,v2-7,183.5607656,224.7218587,605.87,79.21,76.54
12,v2-6,187.2970403,229.1710337,555.55,87.43,43.82
44,"v1-3,8",189.2343443,283.1155425,3033.333333,68,3.333333333
55,"v1-4,9",189.8360092,286.5187816,2948,87,2.111111111
54,"v1-4,8",193.726116,288.7316777,2991,83.33333333,3.222222222
11,v2-5,203.7963596,248.0976519,487.69,69.75,28.74
45,"v1-3,9",203.8723889,304.6412962,2864.333333,88.66666667,1.888888889
46,"v1-4,10",207.3034545,305.7283117,2763.666667,105.3333333,2.555555555
9,v2-3,210.7364233,258.8414581,513.88,35.73,0.06
3,v2-13,211.8606835,244.079395,667.77,32.63,293.14
10,"v1-1,7",212.2644505,313.3513551,2716.666667,116,2.555555556
10,v2-4,215.6049289,263.5094866,514.52,35.94,0.05
33,"v1-2,8",216.6138179,316.3246228,2908,94.66666667,1.222222222
35,"v1-3,10",219.1392875,323.1256929,2723.333333,113,2
101,"v1-B1,6",219.7933431,320.0533326,2447.666667,113.3333333,2.888888889
47,"v1-4,11",224.630952,325.0105801,2582.333333,110,1.888888889
57,"v1-5,11",228.2540427,332.0573577,2541.333333,123,3.333333333
43,"v1-3,7",228.675582,330.7054865,2893.333333,84.66666667,1.888888889
53,"v1-4,7",231.4029401,334.5139185,2711.666667,110.3333333,3.333333333
4,v2-14,232.6992274,269.446239,590.76,51.02,278.95
102,"v1-B1,7",235.2412568,339.6185082,2361,118.6666667,4.333333333
36,"v1-3,11",235.2482051,338.6119162,2455.666667,127.3333333,2
32,"v1-2,7",235.6884921,341.3007995,2867,82,2.888888889
64,"v1-5,9",236.5573136,342.1206515,2722,119,3.777777778
9,"v1-1,6",237.4770922,342.5923001,2662.666667,120.3333333,1.888888889
34,"v1-2,9",238.9204635,348.9614457,2624,123.3333333,2.333333333
42,"v1-3,6",241.843621,349.0727736,2614.666667,122.3333333,79.33333332
17,v2-odd_even_division,244.6527125,289.5264359,715.85,61.9,30.16
31,"v1-2,6",245.239441,351.3618159,2848.333333,110,2.666666667
63,"v1-5,8",245.4265533,351.5283416,2679.666667,143,2.555555555
56,"v1-5,10",247.1683696,359.3212867,2648,109.6666667,2.777777778
5,v2-15,247.8587577,288.1385652,531.88,82.95,288.2
8,v2-2,249.5981379,296.5674813,427.15,50.49,46.24
0,v2-1,253.9466982,301.0659803,418.16,50.82,46.16
58,"v1-5,12",255.4177312,365.0301989,2203.333333,107.6666667,2.666666666
8,"v1-1,5",259.1424724,369.7914068,2573,146.3333333,5.888888889
103,"v1-B1,8",259.5699709,373.5631501,2127.333333,132.6666667,1.222222222
48,"v1-4,12",263.995686,373.7659921,2195.666667,105.3333333,1.777777778
59,"v1-5,13",264.1244048,376.1717614,2054.666667,89,3.555555555
6,v2-16,265.0448046,309.72468,437.97,98.69,268.75
23,"v1-2,10",265.7268483,375.9098395,2462.333333,143.6666667,1
62,"v1-5,7",267.037862,381.3743685,2304,134.3333333,3.777777778
49,"v1-4,13",274.4280627,389.8472108,2021.666667,81.66666667,4.222222222
12,"v1-1,9",274.5600228,392.9121351,2343.333333,162.6666667,1.555555556
11,"v1-1,8",278.2094287,393.633369,2440,126.6666667,1.333333333
67,"v1-6,12",282.0420504,399.1023805,2181.333333,133,2.444444445
52,"v1-4,6",283.7094772,397.9192918,2323,131.6666667,37.8888889
65,"v1-6,10",284.0432189,401.4300379,2444,151,2.222222222
7,v2-17,285.8418773,336.2439949,408.04,82.64,158.13
68,"v1-6,13",286.6726617,405.6718681,1983,90.33333333,1.555555556
50,"v1-4,14",289.8717313,415.5280961,1815,42.33333333,1.333333333
71,"v1-6,8",295.5352709,415.019661,2242,172,2.444444444
100,"v1-B1,5",297.4503293,418.3396763,2291,123.6666667,4.888888889
72,"v1-6,9",302.4802806,423.0544517,2354.333333,163,2.777777778
30,"v1-2,5",302.9561229,422.5589226,2470.333333,146.6666667,43.77777777
41,"v1-3,5",306.4875182,422.5464005,2251.666667,135.6666667,7.222222222
60,"v1-5,14",313.8068528,436.2459324,1841.333333,35.33333333,3
51,"v1-4,5",314.5549577,433.0155033,2026,135.3333333,4.888888889
37,"v1-3,12",318.7083461,440.2689311,2072,124,1.888888889
0,"v1-1,10",320.8146245,451.0013386,1981,168.6666667,0.777777778
66,"v1-6,11",321.1483838,444.7999043,2218.666667,147.6666667,3.111111111
61,"v1-5,6",330.5289053,445.3211041,2082,123.3333333,4.777777778
111,"v1-B2,2",333.981017,640.1311507,338.0244536,313.1305339,1.333333333
114,"v1-B2,5",335.2855878,623.2621887,295.2896007,309.7987679,2.888888889
70,"v1-6,7",347.5236139,472.2665694,1991.666667,138.3333333,8.777777777
39,"v1-3,14",347.6074592,478.8249485,1757.666667,56.66666667,2.111111111
117,"v1-B2,8",354.8327758,712.3705729,366.4905058,392.4707652,0.888888889
73,"v1-7,10",356.6343384,491.1111142,2015.666667,186,4.111111111
115,"v1-B2,6",357.2140654,756.5622859,441.1194767,419.1529401,1.444444445
69,"v1-6,14",361.9508623,488.7562951,1845.333333,43,2.555555556
132,"v1-B3,8",362.6986667,704.2049393,388.849024,405.9768593,1.333333333
112,"v1-B2,3",363.0820472,760.1573553,396.4810322,425.6365029,2.222222222
7,"v1-1,4",368.6763937,496.0492341,2221.333333,191,7.222222222
29,"v1-2,4",373.5859505,502.1549117,2072.333333,171,10.55555556
76,"v1-7,13",378.468436,511.3193652,1790.666667,115,1.333333333
116,"v1-B2,7",379.5456947,725.2007552,347.3931949,360.1795505,1.444444444
106,"v1-B2,10",387.7962311,833.5170637,467.4973972,409.1024269,0.333333333
119,"v1-B2,B1",388.9807031,911.7349751,393.1589348,464.4997022,0.444444445
77,"v1-7,14",389.4254165,535.8730403,1680.666667,58.66666667,3
104,"v1-B1,9",391.0814222,533.0749598,1797.666667,147.3333333,0.888888889
1,"v1-1,11",392.4116974,527.9792864,1796,169.6666667,1.222222222
125,"v1-B3,14",393.8134212,743.4585737,391.5953618,354.0520207,0
79,"v1-7,9",395.4744019,534.8343888,1964,183.3333333,4.333333333
122,"v1-B3,11",406.9907612,740.6116103,358.1482184,357.1286948,1.333333333
40,"v1-3,4",408.007574,543.747034,1881.333333,138.6666667,3.555555555
38,"v1-3,13",410.7334423,547.7877362,1792,109,4.555555555
81,"v1-8,11",417.6164345,562.0427986,1628.333333,184.6666667,1.444444444
113,"v1-B2,4",439.2179655,914.8202603,366.5642875,399.8224522,2.444444444
74,"v1-7,11",440.4098924,581.9204149,1922.666667,151.6666667,3
83,"v1-8,13",441.9140596,585.019274,1646.333333,133,2.666666667
118,"v1-B2,9",447.8908276,907.5347664,444.4900719,392.3690317,1.222222222
78,"v1-7,8",456.4865875,600.3303676,1730.666667,153,3.333333333
2,"v1-1,12",462.8959738,613.5790086,1486.333333,162.3333333,0.666666667
25,"v1-2,12",463.6134988,596.9944038,1794.333333,142.6666667,1
120,"v1-B3,1",466.3610376,993.5938001,504.3506812,710.1070081,1.888888889
123,"v1-B3,12",467.7362974,948.6971433,475.3258901,526.9984519,0.444444444
24,"v1-2,11",467.9006401,606.7952982,1995,149.3333333,0.555555555
6,"v1-1,3",470.0225485,613.1875135,1843,213.6666667,4.444444444
27,"v1-2,14",476.1962281,618.2969148,1550,89.66666667,1.777777778
92,"v1-B1,10",487.3939512,658.1459593,1544.333333,156,0.333333333
107,"v1-B2,11",510.7145607,993.3387083,537.1309436,605.8442364,1.888888889
28,"v1-2,3",513.916694,669.0877528,1676,177.6666667,3
88,"v1-9,12",524.8331103,685.7753914,1311.333333,154,3.222222222
75,"v1-7,12",527.7251143,678.7049732,1760.333333,132.6666667,3.222222222
84,"v1-8,14",527.7610345,686.0977756,1550,70.33333333,2.444444444
26,"v1-2,13",544.535867,691.6460141,1641.333333,121,2
93,"v1-B1,11",554.5685521,723.2530905,1323.333333,150.6666667,0.666666667
5,"v1-1,2",578.4011587,730.8975253,1409.333333,189.3333333,4.111111111
80,"v1-8,10",586.7006003,735.6701841,1583.666667,168,2.333333333
134,"v1-B3,B1",604.1752001,1366.340904,486.80097,390.4034944,0.222222222
90,"v1-9,14",612.5438812,789.7070754,1281.666667,84.33333333,1.444444445
89,"v1-9,13",615.0919312,789.8535551,1218,128.6666667,0.777777778
94,"v1-B1,12",622.9426453,798.6621615,1125.666667,139.3333333,0.333333333
108,"v1-B2,12",637.0509265,1120.023806,909.1620641,532.1944649,0.555555555
82,"v1-8,12",637.6751916,810.6372247,1491.666667,157.3333333,2.222222222
85,"v1-8,9",663.6355347,824.5107131,1491.666667,161.3333333,3.111111111
105,"v1-B2,1",664.1442163,1280.31336,541.5165764,587.2253957,0.222222222
87,"v1-9,11",668.5486784,832.473159,1283,162.6666667,1.222222222
86,"v1-9,10",689.1006808,861.3118139,1201,138.6666667,1.333333333
133,"v1-B3,9",702.471117,1386.066517,759.5109616,772.2640468,1.666666666
95,"v1-B1,13",709.9995597,897.9883412,918.3333333,122.6666667,1
14,"v1-10,12",712.0009677,893.9180313,1078.666667,158.6666667,0.444444444
17,"v1-11,12",715.8907509,901.4593235,923.6666667,143,6.666666668
109,"v1-B2,13",727.6539435,1312.073576,726.5456878,684.1300574,0.111111111
124,"v1-B3,13",733.8194149,1754.075558,688.4201074,726.1710351,0.111111111
110,"v1-B2,14",740.4033678,1577.543311,668.410174,756.5049599,0.333333333
131,"v1-B3,7",749.3902726,1276.375131,746.021582,523.9468788,2.222222222
15,"v1-10,13",754.1019195,945.0768066,1047,136,0.555555555
4,"v1-1,14",770.6581251,962.5190995,1033.333333,96,0.555555555
121,"v1-B3,10",781.4652464,1535.55338,867.6236038,653.7974182,0.333333333
99,"v1-B1,4",801.4528855,925.7476712,2118.666667,149.3333333,4.555555556
19,"v1-11,14",809.7474398,1005.582498,857,85.33333333,0
3,"v1-1,13",821.3882244,1015.995656,1125,124.3333333,1.444444444
96,"v1-B1,14",853.3895862,1057.686053,826.3333333,80,0.222222222
91,"v1-B1,1",867.7212581,1908.071593,700.9758802,858.4045808,1.666666667
16,"v1-10,14",924.3211429,1120.151856,1034,95.66666667,0.222222222
13,"v1-10,11",932.8586393,1129.637365,1031.333333,152.6666667,0.555555555
20,"v1-12,13",1015.477552,1226.554391,661,98,0.111111111
18,"v1-11,13",1090.270062,1299.238336,789,108,0.111111111
97,"v1-B1,2",1116.57252,2049.20308,1062.717356,1071.906236,4
126,"v1-B3,2",1180.637293,2147.166255,1289.046545,1268.752865,3.888888889
21,"v1-12,14",1203.710747,1413.104702,688,80.66666667,0.444444444
135,"v1-B3,B2",1374.487877,3144.521647,1408.014574,1461.298217,0.444444445
98,"v1-B1,3",1381.646792,2556.20881,1204.621555,1557.621066,2.888888889
22,"v1-13,14",1551.092459,1787.13706,522,46.33333333,0.111111111
128,"v1-B3,4",1850.914051,3665.639911,1802.96746,1810.985623,3.222222222
129,"v1-B3,5",1932.499877,3736.859162,1904.367273,1981.567729,4.111111111
127,"v1-B3,3",2030.431436,4020.490732,2070.743166,2182.089065,3.111111111
130,"v1-B3,6",2120.520437,4291.883156,1655.741432,1722.448972,2.333333333